epoch,train_loss,dev_eer,lr,seconds
0,0.33375,0.01143,3.00e-04,498
1,0.02593,0.00274,3.00e-04,328
2,0.00964,0.00363,2.99e-04,462
3,0.01208,0.00159,2.96e-04,477
4,0.01110,0.00354,2.92e-04,438
5,0.00435,0.00049,2.86e-04,324
6,0.00908,0.00157,2.79e-04,315
7,0.01206,0.00506,2.69e-04,332
8,0.00790,0.00157,2.59e-04,320
9,0.00111,0.00668,2.47e-04,312
10,0.00464,0.00040,2.34e-04,309
11,0.00078,0.00040,2.20e-04,307
12,0.00249,0.00040,2.06e-04,304
13,0.00193,0.00073,1.90e-04,318
14,0.00156,0.00047,1.74e-04,308
15,0.00009,0.00035,1.58e-04,301
16,0.00001,0.00031,1.42e-04,306
17,0.00001,0.00035,1.26e-04,309
18,0.00062,0.00000,1.10e-04,310
19,0.00025,0.00049,9.45e-05,305
20,0.00018,0.00040,7.97e-05,314
21,0.00001,0.00040,6.58e-05,308
22,0.00001,0.00038,5.29e-05,308
23,0.00061,0.00035,4.11e-05,314
